order_id,order_date,customer_id,product_id,qty,unit_price,discount_pct
10001,2026-01-01,C001,P001,2,49.99,0
10002,2026-01-01,C002,P004,1,129.00,10
10003,2026-01-01,C003,P002,3,15.50,0
10004,2026-01-01,C004,P007,1,899.00,0
10005,2026-01-01,C005,P011,5,8.25,0
10006,2026-01-01,C001,P003,2,24.99,5
10007,2026-01-01,C006,P008,1,449.00,15
10008,2026-01-01,C007,P012,4,12.00,0
10009,2026-01-01,C008,P005,1,89.50,0
10010,2026-01-01,C002,P009,2,329.00,5
10011,2026-01-01,,P010,1,79.99,0
10012,2026-01-01,C009,P001,3,49.99,10
10013,2026-01-01,C010,P006,1,1299.00,0
10014,2026-01-01,C011,P013,2,18.00,0
10015,2026-01-01,C012,P002,5,15.50,5
10016,2026-01-01,C003,,2,99.00,0
10017,2026-01-01,C013,P007,1,899.00,12
10018,2026-01-01,C014,P004,2,129.00,0
10019,2026-01-01,C015,P011,10,8.25,0
10020,2026-01-01,C001,P012,2,12.00,0
10021,2026-01-01,C002,P008,1,449.00,0
10022,2026-01-01,C016,P003,4,24.99,5
10023,2026-01-01,C004,P005,1,89.50,0
10024,2026-01-01,C017,P009,1,329.00,0
10025,2026-01-01,C005,P002,2,15.50,0
10026,2026-01-01,C018,P001,1,49.99,0
10027,2026-01-01,C006,P013,3,18.00,0
10028,2026-01-01,C007,P006,1,1299.00,8
10029,2026-01-01,C019,P010,2,79.99,0
10030,2026-01-01,C008,P007,1,899.00,0
10031,2026-01-01,C020,P011,6,8.25,0
10032,2026-01-01,C009,P004,1,129.00,5
10033,2026-01-01,C010,P012,3,12.00,0
10034,2026-01-01,C011,P008,1,449.00,0
10035,2026-01-01,C012,P003,2,24.99,0
10036,2026-01-01,,P002,1,15.50,0
10037,2026-01-01,C013,P005,1,89.50,5
10038,2026-01-01,C014,P009,2,329.00,0
10039,2026-01-01,C015,P001,4,49.99,0
10040,2026-01-01,C016,P013,1,18.00,0
